Commit,Date,Author,Feature Files,Total Lines,Message
32fb726,2008-08-06 05:46:57,Aslak Hellesøy,0,0,Pairing with Bret Pettichord to improve Watir example
e77b71d,2008-08-06 07:27:57,Aslak Hellesøy,0,0,First cut of table scenarios working
b399f0e,2008-08-06 10:01:37,Aslak Hellesøy,0,0,More work on tables
3d7130c,2008-08-06 19:13:36,Aslak Hellesøy,0,0,A series of cleanup refactorings
2f9ebb8,2008-08-06 19:24:26,Aslak Hellesøy,0,0,Fix line numbers and file in backtrace
07e6067,2008-08-06 19:38:38,Aslak Hellesøy,0,0,Fix line numbers for tables
28144a1,2008-08-06 20:18:29,Aslak Hellesøy,0,0,Added back i18n support
63d6c32,2008-08-06 20:21:37,Aslak Hellesøy,0,0,Deleted old parser
23d7a29,2008-08-06 20:57:22,Aslak Hellesøy,0,0,Moved everything around to a better file structure
33d1a2a,2008-08-06 21:35:30,Aslak Hellesøy,7,0,Fix line numbers
166032e,2008-08-07 23:26:27,Aslak Hellesøy,7,0,Several smaller tweaks
6bb0f3d,2008-08-08 02:40:54,Aslak Hellesøy,7,0,Fix up calculator example
c8ccf09,2008-08-08 10:02:29,Aslak Hellesøy,7,0,Added Rails generators to make it easier to get started in a Rails environment
eb75f3c,2008-08-08 10:26:06,Aslak Hellesøy,7,0,More words
2a786fb,2008-08-08 11:08:28,Aslak Hellesøy,7,0,Add delete scenarion with tables
b63cdd7,2008-08-08 11:14:03,Aslak Hellesøy,8,0,Words
a7dde12,2008-08-08 11:14:03,Aslak Hellesøy,8,0,Words
3aa6d4b,2008-08-08 18:47:32,Aslak Hellesøy,8,0,Merge branch 'master' of git@github.com:aslakhellesoy/cucumber
58c4c83,2008-08-08 18:47:32,Aslak Hellesøy,8,0,Merge branch 'master' of git@github.com:aslakhellesoy/cucumber
45e042c,2008-08-08 20:51:09,Aslak Hellesøy,8,0,Interaction designers - sorry forgot you
a889726,2008-08-08 20:51:09,Aslak Hellesøy,8,0,Interaction designers - sorry forgot you
9fa9e43,2008-08-12 04:20:07,Aslak Hellesøy,8,0,Tweaks to the output
d3b1a93,2008-08-12 04:20:07,Aslak Hellesøy,8,0,Tweaks to the output
9a94229,2008-08-19 15:51:19,Aslak Hellesøy,8,0,Support different versions of Rails for transaction handling
6085124,2008-08-19 15:51:19,Aslak Hellesøy,8,0,Support different versions of Rails for transaction handling
2650f4a,2008-08-21 08:55:41,M. Scott Ford,8,0,Added support for disabling colors used by the pretty formatter.
0735e71,2008-08-21 08:55:41,M. Scott Ford,8,0,Added support for disabling colors used by the pretty formatter.
6c3fe5d,2008-08-21 12:18:11,Aslak Hellesøy,8,0,Added a short README.txt so we can move to a wiki on Github
34efdb7,2008-08-21 12:18:11,Aslak Hellesøy,8,0,Added a short README.txt so we can move to a wiki on Github
9873d6c,2008-08-25 19:40:32,Aslak Helles�y,8,0,Add support for GivenScenario: in parser
58552ef,2008-08-25 19:40:32,Aslak Helles�y,8,0,Add support for GivenScenario: in parser
fe71d22,2008-08-26 15:48:08,Aslak Hellesoy,8,0,Improved step dupe and ambiguity reporting. Made the colon after GivenScenario optional
b3c762b,2008-08-26 15:48:08,Aslak Hellesoy,8,0,Improved step dupe and ambiguity reporting. Made the colon after GivenScenario optional
9d00123,2008-08-26 20:40:56,Aslak Hellesoy,8,0,Improved error reporting again - added a cucumber script for Rails
d41361a,2008-08-26 20:40:56,Aslak Hellesoy,8,0,Improved error reporting again - added a cucumber script for Rails
7cd0c1d,2008-08-27 14:30:52,Aslak Hellesøy,8,0,More work on HTML formatter
8e8a6bf,2008-08-27 14:30:52,Aslak Hellesøy,9,0,More work on HTML formatter
40b2598,2008-08-28 11:45:38,Aslak Hellesøy,10,0,Some more improvements on the HTML formatter. It's tricky with the tables.
b8ec31f,2008-08-28 11:45:38,Aslak Hellesøy,10,0,Some more improvements on the HTML formatter. It's tricky with the tables.
72abfeb,2008-08-29 20:58:55,David Chelimsky,10,0,spell ambiguous less 'ambiguosly'
0bc218f,2008-08-29 20:58:55,David Chelimsky,10,0,spell ambiguous less 'ambiguosly'
196ef05,2008-08-31 18:38:30,M. Scott Ford,10,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
39c1d37,2008-08-31 18:38:30,M. Scott Ford,10,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
b39303c,2008-09-02 11:39:33,Aslak Hellesøy,11,0,Disabled a couple of specs that I'll fix later
bee63d7,2008-09-02 11:39:33,Aslak Hellesøy,10,0,Disabled a couple of specs that I'll fix later
ecc21ef,2008-09-05 16:21:33,Joseph Wilk,10,0,Allowing whitespace in a FIT value
2ab42e6,2008-09-05 16:21:33,Joseph Wilk,10,0,Allowing whitespace in a FIT value
a089866,2008-09-08 18:22:22,David Chelimsky,10,0,remove quotes from /I go to PAGE/ step definition
6f06da4,2008-09-08 18:22:22,David Chelimsky,10,0,remove quotes from /I go to PAGE/ step definition
67811ac,2008-09-08 22:25:09,Aslak Hellesøy,13,0,Merge branch 'master' of git://github.com/JoeSniff/cucumber
ae9945a,2008-09-08 22:25:09,Aslak Hellesøy,10,0,Merge branch 'master' of git://github.com/JoeSniff/cucumber
5c084c9,2008-09-08 22:40:46,Aslak Hellesøy,11,0,Merged conflict
e7ac8a0,2008-09-08 22:40:46,Aslak Hellesøy,12,0,Merged conflict
9ecb25d,2008-09-09 00:53:57,JoeSniff,10,0,Html title should be Features rather than Stories.
f4c2a21,2008-09-09 00:53:57,JoeSniff,10,0,Html title should be Features rather than Stories.
52d5eac,2008-09-09 01:11:01,Aslak Hellesøy,10,0,Add out of the box integration with RSpec's matchers
8ebd138,2008-09-09 01:11:01,Aslak Hellesøy,12,0,Add out of the box integration with RSpec's matchers
35f03e6,2008-09-09 01:15:37,Aslak Hellesøy,15,0,Merge branch 'master' of git://github.com/JoeSniff/cucumber
c5f209f,2008-09-09 01:15:37,Aslak Hellesøy,15,0,Merge branch 'master' of git://github.com/JoeSniff/cucumber
a90f396,2008-09-09 08:08:49,David Chelimsky,15,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
76174c8,2008-09-09 08:08:49,David Chelimsky,15,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
a7e825d,2008-09-09 18:43:54,Aslak Hellesøy,15,0,Update gemspec
a3a2fd4,2008-09-09 18:43:54,Aslak Hellesøy,16,0,Update gemspec
26ea746,2008-09-11 20:58:15,Danilo Sato,16,0,Fixing portuguese translation and adding an example
ae775f7,2008-09-13 05:41:38,David Chelimsky,16,0,more readable variable names
f4d82f2,2008-09-13 05:41:38,David Chelimsky,16,0,more readable variable names
3cea2c8,2008-09-15 05:51:12,David Chelimsky,16,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
08a5e3f,2008-09-15 05:51:12,David Chelimsky,15,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
fe323e4,2008-09-15 05:51:12,David Chelimsky,15,0,Merge branch 'master' of git://github.com/aslakhellesoy/cucumber
2835ac9,2008-09-15 19:26:19,David Chelimsky,16,0,change Ambiguous to Multiple
dd1f540,2008-09-15 19:32:31,David Chelimsky,16,0,rename example
a1e8ae1,2008-09-15 19:32:31,David Chelimsky,16,0,rename example
3628978,2008-09-17 09:28:55,David Chelimsky,16,0,add progress formatter spec
51bfade,2008-09-17 09:28:55,David Chelimsky,15,0,add progress formatter spec
de3826a,2008-09-17 09:28:55,David Chelimsky,15,0,add progress formatter spec
41c0d0a,2008-09-17 10:07:20,David Chelimsky,15,0,"split step_executed out to step_passed, step_failed, step_pending"
ca70b37,2008-09-17 10:07:20,David Chelimsky,15,0,"split step_executed out to step_passed, step_failed, step_pending"
2d73dd2,2008-09-17 11:35:14,David Chelimsky,15,0,Steps following a pending or failing step are now skipped (if pass/fail) or pending.
fd4b16e,2008-09-17 11:35:14,David Chelimsky,15,0,Steps following a pending or failing step are now skipped (if pass/fail) or pending.
dc8470b,2008-09-17 18:59:06,David Chelimsky,15,0,Correctly bubble ArgCountError up to formatter. [#11]
2e372c6,2008-09-17 18:59:06,David Chelimsky,15,0,Correctly bubble ArgCountError up to formatter. [#11]
74b6184,2008-09-17 19:13:56,David Chelimsky,15,0,change ArgCountError to ArityMismatchError
fde2c27,2008-09-17 19:13:56,David Chelimsky,15,0,change ArgCountError to ArityMismatchError
0c7268f,2008-09-17 21:38:52,Aslak Hellesøy,15,0,Small tweaks to examples
c50f943,2008-09-17 21:38:52,Aslak Hellesøy,15,0,Small tweaks to examples
38b6a9a,2008-09-17 21:39:32,Aslak Hellesøy,15,0,Add dogfood features
ff5757f,2008-09-17 21:39:32,Aslak Hellesøy,15,0,Add dogfood features
49c91d6,2008-09-18 05:39:00,David Chelimsky,15,0,tighten up regexps
4068f66,2008-09-18 05:39:00,David Chelimsky,15,0,tighten up regexps
77ea0a7,2008-09-18 07:45:59,David Chelimsky,15,0,don't output failure message for skipped steps
9f6bf22,2008-09-18 07:45:59,David Chelimsky,15,0,don't output failure message for skipped steps
683ca38,2008-09-18 12:08:28,Aslak Hellesøy,16,0,Add a pending spec for an upcoming refactoring
1868ca2,2008-09-18 14:32:46,Daniel Lucraft,16,0,Added path to bin so can run from anywhere
f41fb47,2008-09-18 14:32:46,Daniel Lucraft,15,0,Added path to bin so can run from anywhere
69b3cc6,2008-09-18 14:32:46,Daniel Lucraft,15,0,Added path to bin so can run from anywhere
8e3bcad,2008-09-18 14:32:46,Daniel Lucraft,15,0,Made transactional fixtures optional. To use transactional fixtures put Cucumber::Rails.use_transact
a9037b9,2008-09-18 14:32:46,Daniel Lucraft,15,0,Made transactional fixtures optional. To use transactional fixtures put Cucumber::Rails.use_transact
97f5316,2008-09-18 14:32:46,Daniel Lucraft,16,0,PrettyFormatter excludes Rails and Cucumber plugin from backtrace.
95542ae,2008-09-18 14:33:14,Daniel Lucraft,16,0,Added error case: wrong number of arguments in a step definition.
af50d01,2008-09-18 14:33:14,Daniel Lucraft,16,0,Added error case: wrong number of arguments in a step definition.
5f73173,2008-09-18 15:02:18,Daniel Lucraft,16,0,Merged dchelimsky branch
126cd1b,2008-09-18 15:02:18,Daniel Lucraft,16,0,Merged dchelimsky branch
e1fae61,2008-09-18 15:08:48,Aslak Hellesøy,16,0,Debugging github gem building
6b95190,2008-09-18 15:08:48,Aslak Hellesøy,16,0,Debugging github gem building
b10ee0b,2008-09-18 15:11:13,Aslak Hellesøy,16,0,More gem debugging
5ca1a23,2008-09-18 15:11:13,Aslak Hellesøy,16,0,More gem debugging
dc6b5d4,2008-09-18 15:45:45,Daniel Lucraft,16,0,PrettyFormatter excludes Rails and Cucumber plugin from backtrace.
906bb62,2008-09-18 15:45:45,Daniel Lucraft,16,0,PrettyFormatter excludes Rails and Cucumber plugin from backtrace.
9bbaa6c,2008-09-18 15:59:07,Aslak Hellesøy,16,0,Fixed merge conflict
82e235b,2008-09-18 15:59:07,Aslak Hellesøy,16,0,Fixed merge conflict
6b0ad66,2008-09-18 16:20:20,Aslak Hellesøy,16,0,Add more patterns for backtrace filtering
5b3aaf6,2008-09-18 16:20:20,Aslak Hellesøy,16,0,Add more patterns for backtrace filtering
aff7700,2008-09-18 16:27:49,Aslak Hellesøy,16,0,Put the backtrace filter patterns in a box
f74ce23,2008-09-18 16:27:49,Aslak Hellesøy,16,0,Put the backtrace filter patterns in a box
9f89c39,2008-09-18 18:00:14,Daniel Lucraft,16,0,Made transactional fixtures optional. To use transactional fixtures put Cucumber::Rails.use_transact
22b7398,2008-09-18 18:00:14,Daniel Lucraft,16,0,Made transactional fixtures optional. To use transactional fixtures put Cucumber::Rails.use_transact
84ca34c,2008-09-18 18:02:49,Aslak Hellesøy,16,0,Merge branch 'master' of git://github.com/dtsato/cucumber
a899803,2008-09-18 18:02:49,Aslak Hellesøy,16,0,Merge branch 'master' of git://github.com/dtsato/cucumber
0be5c8d,2008-09-18 18:24:54,Aslak Hellesøy,16,0,Added Danish and Swedish (to my best knowledge). Also added the word Feature to languages.
19ab7d3,2008-09-18 18:24:54,Aslak Hellesøy,16,0,Added Danish and Swedish (to my best knowledge). Also added the word Feature to languages.
5d44b73,2008-09-18 18:26:12,Daniel Lucraft,16,0,Added path to bin so can run from anywhere
84e7e22,2008-09-18 18:26:12,Daniel Lucraft,16,0,Added path to bin so can run from anywhere
707f441,2008-09-18 18:28:42,Aslak Hellesøy,16,0,Made $. modification a little smarter and remove absolute paths
c24b6c0,2008-09-18 18:28:42,Aslak Hellesøy,17,0,Made $. modification a little smarter and remove absolute paths
a1d12f3,2008-09-19 03:51:54,Pelle Braendgaard,17,0,Fixed Danish scenario language
beb3099,2008-09-19 03:51:54,Pelle Braendgaard,17,0,Fixed Danish scenario language
a7d762c,2008-09-19 04:04:55,Pelle Braendgaard,17,0,"Added danish calculator
Updated danish parser"
785c72a,2008-09-19 04:04:55,Pelle Braendgaard,17,0,"Added danish calculator
Updated danish parser"
cac64c2,2008-09-19 04:33:05,Pelle Braendgaard,17,0,Added Spanish Calculator Example.
3da0223,2008-09-19 04:33:05,Pelle Braendgaard,17,0,Added Spanish Calculator Example.
45994ca,2008-09-19 11:01:07,David Chelimsky,17,0,"multiple step error should be a failure, not skipped"
a94740f,2008-09-19 11:01:07,David Chelimsky,17,0,"multiple step error should be a failure, not skipped"
eaa9361,2008-09-19 11:17:11,David Chelimsky,17,0,correctly handle multiple cases of multiple steps in one scenario
a03c335,2008-09-19 11:17:11,David Chelimsky,18,0,correctly handle multiple cases of multiple steps in one scenario
7fcb21e,2008-09-19 20:09:18,Aslak Hellesøy,18,0,Fixed #12 - Add --profile option to command line
f268321,2008-09-19 20:09:18,Aslak Hellesøy,19,0,Fixed #12 - Add --profile option to command line
23cbd02,2008-09-19 21:09:21,Mart Karu,19,0,Added support for estonian feature descriptions and an example estonian_calculator
a04210e,2008-09-19 21:09:21,Mart Karu,17,0,Added support for estonian feature descriptions and an example estonian_calculator
0304984,2008-09-19 23:15:14,Pelle Braendgaard,17,0,Minor fix in feature to use 'æ' rather than ae
82c1276,2008-09-19 23:15:14,Pelle Braendgaard,17,0,Minor fix in feature to use 'æ' rather than ae
b5ca5fa,2008-09-21 01:46:57,Aslak Hellesøy,17,0,Use --profile in calculator example
38461ef,2008-09-21 01:46:57,Aslak Hellesøy,17,0,Use --profile in calculator example
e5e57b5,2008-09-21 01:48:51,Aslak Hellesøy,17,0,Merge branch 'master' of git://github.com/martkaru/cucumber
a4bfd3e,2008-09-21 01:48:51,Aslak Hellesøy,18,0,Merge branch 'master' of git://github.com/martkaru/cucumber
cd4eb93,2008-09-21 01:51:43,Aslak Hellesøy,18,0,Merge branch 'master' of git://github.com/pelle/cucumber
a4f3c29,2008-09-21 01:51:43,Aslak Hellesøy,19,0,Merge branch 'master' of git://github.com/pelle/cucumber
d4493c3,2008-09-21 01:53:41,Aslak Hellesøy,19,0,Merge branch 'master' of git://github.com/dchelimsky/cucumber
50493b5,2008-09-21 01:53:41,Aslak Hellesøy,17,0,Merge branch 'master' of git://github.com/dchelimsky/cucumber
c829734,2008-09-22 16:31:58,Aslak Hellesøy,17,0,Fix Manifest and small cleanups
c613840,2008-09-22 16:31:58,Aslak Hellesøy,18,0,Fix Manifest and small cleanups
ae9a04f,2008-09-25 04:43:50,Bryan Helmkamp,18,0,Bug fix in String#gzub for placeholders that are empty
2b5428a,2008-09-25 04:43:50,Bryan Helmkamp,20,0,Bug fix in String#gzub for placeholders that are empty
5ad90fe,2008-09-26 02:27:49,David Chelimsky,20,0,html formatter step_skipped now accepts correct args
d7cee37,2008-09-26 02:27:49,David Chelimsky,20,0,html formatter step_skipped now accepts correct args
909cc09,2008-09-26 03:40:26,Aslak Hellesøy,20,0,changes to norwegian example
e6b4a47,2008-09-26 03:40:26,Aslak Hellesøy,20,0,changes to norwegian example
d18976e,2008-09-26 03:42:30,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/dchelimsky/cucumber
7ffad45,2008-09-26 03:42:30,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/dchelimsky/cucumber
4a8a3b7,2008-09-26 17:44:37,Pascal Erb,20,0,"Added support for German, i.e. language code 'de'"
e386e8a,2008-09-26 17:44:37,Pascal Erb,20,0,"Added support for German, i.e. language code 'de'"
10fd649,2008-09-26 17:54:09,Pascal Erb,20,0,Sorry! Forgot to run the treetop compilation
02f3097,2008-09-26 17:54:09,Pascal Erb,20,0,Sorry! Forgot to run the treetop compilation
be4143c,2008-09-26 20:45:38,Michael Bykov,20,0,Russian translation
6ff433f,2008-09-26 20:45:38,Michael Bykov,20,0,Russian translation
90b5253,2008-09-26 21:00:23,Aslak Hellesøy,20,0,There should be no .rake extension for the rails-generated script/cucumber file. And it should be ex
c3a94ff,2008-09-26 21:00:23,Aslak Hellesøy,20,0,There should be no .rake extension for the rails-generated script/cucumber file. And it should be ex
9d9f651,2008-09-26 23:08:20,Bryan Helmkamp,20,0,Allow WIP Scenarios with zero steps in Treetop parser
7992037,2008-09-26 23:08:20,Bryan Helmkamp,20,0,Allow WIP Scenarios with zero steps in Treetop parser
ffc7d77,2008-09-27 00:37:54,Bryan Helmkamp,20,0,Adding command line option --exclude to skip certain feature files (eg. watir) (WIP - breaks tests)
b1c74c9,2008-09-27 00:37:54,Bryan Helmkamp,20,0,Adding command line option --exclude to skip certain feature files (eg. watir) (WIP - breaks tests)
066b1c9,2008-09-27 00:38:51,Bryan Helmkamp,20,0,Print pending scenarios when using progress formatter (WIP - breaks test)
cbb76b8,2008-09-27 00:38:51,Bryan Helmkamp,20,0,Print pending scenarios when using progress formatter (WIP - breaks test)
bf6d795,2008-09-27 09:43:20,Coda Hale,20,0,Moved from CDATA sections in the HTML output to simple string escaping for WebKit compatibility.
1185b16,2008-09-27 09:43:20,Coda Hale,20,0,Moved from CDATA sections in the HTML output to simple string escaping for WebKit compatibility.
0c9afd4,2008-09-27 18:30:40,Jari Bakken,20,0,Make Watir example run on Celerity again (broken by 9d00123).
82d99f7,2008-09-27 18:30:40,Jari Bakken,20,0,Make Watir example run on Celerity again (broken by 9d00123).
ad4ff41,2008-09-27 21:51:10,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/paschelino/cucumber
0a52310,2008-09-27 21:51:10,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/paschelino/cucumber
9b0c04f,2008-09-27 21:56:47,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/jarib/cucumber
5e15c20,2008-09-27 21:56:47,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/jarib/cucumber
66e64cd,2008-09-27 21:59:13,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/codahale/cucumber
afa13ab,2008-09-27 21:59:13,Aslak Hellesøy,20,0,Merge branch 'master' of git://github.com/codahale/cucumber
c8e3ec6,2008-09-27 22:02:26,Aslak Hellesøy,20,0,Don't use the Watir constant for browsers
964be5b,2008-09-27 22:02:26,Aslak Hellesøy,20,0,Don't use the Watir constant for browsers
e60829c,2008-09-27 22:07:36,Aslak Hellesøy,20,0,Add russian and german to the manifest
089b107,2008-09-27 22:07:36,Aslak Hellesøy,20,0,Add russian and german to the manifest
375d334,2008-09-30 10:56:56,Aslak Hellesøy,20,0,Added support for comments [#15 state:resolved]. Completely rewrote the grammar. Got some good ideas
a89edcb,2008-09-30 10:56:56,Aslak Hellesøy,20,0,Added support for comments [#15 state:resolved]. Completely rewrote the grammar. Got some good ideas
63ecbd7,2008-09-30 11:00:07,Aslak Hellesøy,20,0,Update manifest
095d03c,2008-09-30 11:00:07,Aslak Hellesøy,20,0,Update manifest
30f97a8,2008-09-30 11:16:34,Aslak Hellesøy,20,0,Allow empty scenarios [#23 state:resolved]
fff870a,2008-09-30 11:16:34,Aslak Hellesøy,20,0,Allow empty scenarios [#23 state:resolved]
3afa1bb,2008-09-30 11:20:05,Aslak Hellesøy,20,0,Allow several tables in the same feature [#16 state:resolved]
b810c14,2008-09-30 11:20:05,Aslak Hellesøy,21,0,Allow several tables in the same feature [#16 state:resolved]
f4c85b9,2008-09-30 12:44:48,Aslak Hellesøy,21,0,Remove WTF from spec
60b6913,2008-09-30 12:44:48,Aslak Hellesøy,21,0,Remove WTF from spec
6a694dd,2008-09-30 16:00:01,Aslak Hellesøy,21,0,Add support for AfterStep
5041edf,2008-09-30 16:00:01,Aslak Hellesøy,22,0,Add support for AfterStep
5c47e36,2008-09-30 19:47:24,Tim Glen,22,0,Added a few more useful items to common_webrat.rb template
6feeac8,2008-09-30 19:47:24,Tim Glen,23,0,Added a few more useful items to common_webrat.rb template
81fe41b,2008-09-30 20:01:23,Joseph Wilk,23,0,Failing spec for feature with no scenarios
1ea9a88,2008-09-30 20:01:23,Joseph Wilk,23,0,Failing spec for feature with no scenarios
